n,RS,JS,PJW,ELF,BKDR,SDBM,DJB,DEK,AP
0,0,0,0,0,0,0,0,0,0
1024,0,0,0,0,0,0,0,0,0
2048,0,0,0,0,0,0,0,0,0
3072,0,0,0,0,0,0,0,0,0
4096,0,0,0,0,0,0,0,0,0
5120,0,0,0,0,0,0,0,0,0
6144,0,0,0,0,0,0,0,0,0
7168,0,0,0,0,0,0,0,0,0
8192,0,0,0,0,0,0,0,0,0
9216,0,0,0,0,0,0,0,0,0
10240,0,0,0,0,0,0,0,0,0
11264,0,0,0,0,0,0,0,0,0
12288,0,0,0,0,0,0,0,0,0
13312,0,0,0,0,0,0,0,0,0
14336,0,0,0,0,0,0,0,0,0
15360,0,0,0,0,0,0,0,0,0
16384,0,0,0,0,0,0,0,0,0
17408,0,0,0,0,0,0,0,0,0
18432,0,0,0,0,0,0,0,0,0
19456,0,0,0,0,0,0,0,0,0
20480,0,0,0,0,0,0,0,0,0
21504,0,0,0,0,0,0,0,0,0
22528,0,0,0,0,0,0,0,0,0
23552,0,0,1,1,0,0,0,0,0
24576,0,0,1,1,0,0,0,0,0
25600,0,0,1,1,0,0,0,0,0
26624,0,0,1,1,0,0,0,0,0
27648,0,0,1,1,0,0,0,0,0
28672,0,0,1,1,0,0,0,0,0
29696,0,0,2,2,0,0,0,0,0
30720,0,0,2,2,0,0,0,0,0
31744,0,0,3,3,0,0,0,0,0
32768,0,0,3,3,0,0,0,0,0
33792,0,0,3,3,1,0,0,0,0
34816,0,0,4,4,1,0,0,0,0
35840,0,0,4,4,1,0,0,0,0
36864,0,0,5,5,1,0,0,0,0
37888,0,0,5,5,1,0,0,0,0
38912,0,0,5,5,1,0,0,0,0
39936,0,0,6,6,1,0,0,0,0
40960,0,0,6,6,1,0,0,0,0
41984,0,0,6,6,1,0,0,0,0
43008,0,0,6,6,1,0,0,0,0
44032,0,0,6,6,1,0,0,0,0
45056,0,0,7,7,1,0,0,0,0
46080,0,0,7,7,1,0,0,0,0
47104,0,0,7,7,1,0,0,0,0
48128,0,0,7,7,1,0,0,0,0
49152,0,0,8,8,1,1,0,0,0
50176,0,0,8,8,1,1,0,0,0
51200,0,0,10,10,1,1,0,0,0
52224,0,0,12,12,1,1,0,0,0
53248,0,0,12,12,1,1,0,0,0
54272,0,0,13,13,1,1,0,0,0
55296,0,0,13,13,1,1,0,0,0
56320,0,0,13,13,1,1,0,0,0
57344,1,0,13,13,1,1,0,1,0
58368,1,0,13,13,1,1,0,1,0
59392,1,0,14,14,1,1,0,1,0
60416,1,0,15,15,1,1,0,1,0
61440,1,0,15,15,1,1,0,1,0
62464,1,0,16,16,1,1,0,1,0
63488,1,0,16,16,1,1,0,1,0
64512,1,0,16,16,1,1,0,1,0
65536,1,0,16,16,1,1,0,1,0
66560,1,0,16,16,1,1,0,1,0
67584,1,0,16,16,1,1,0,1,0
68608,1,0,17,17,1,1,0,1,0
69632,1,0,17,17,1,1,0,1,0
70656,1,0,17,17,1,1,0,1,0
71680,1,0,17,17,1,1,0,1,0
72704,1,0,17,17,1,1,0,1,0
73728,1,0,17,17,1,1,0,1,0
74752,1,0,17,17,1,1,0,1,0
75776,1,0,17,17,1,1,0,1,0
76800,1,0,17,17,1,1,0,1,0
77824,1,0,18,18,1,1,0,1,0
78848,1,0,18,18,1,1,0,1,0
79872,1,0,18,18,1,1,0,1,0
80896,1,0,18,18,1,1,0,1,0
81920,1,0,19,19,1,1,0,1,0
82944,1,0,20,20,1,1,0,1,0
83968,1,0,20,20,1,1,0,1,0
84992,1,0,20,20,1,1,0,1,0
86016,1,0,20,20,1,1,0,1,0
87040,1,0,20,20,1,1,0,1,0
88064,1,0,20,20,1,1,0,1,0
89088,1,0,20,20,1,1,0,1,0
90112,1,0,20,20,1,1,0,1,0
91136,1,0,20,20,1,1,0,1,0
92160,1,0,21,21,1,1,0,1,0
93184,1,0,21,21,2,1,0,1,0
94208,1,0,21,21,2,1,0,1,0
95232,1,0,21,21,2,1,0,1,1
96256,1,0,21,21,2,1,0,1,1
97280,1,0,21,21,2,1,0,1,1
98304,1,0,24,24,2,1,0,1,1
99328,1,1,24,24,2,1,0,1,1
100352,1,1,24,24,2,1,0,1,1
101376,1,1,24,24,2,1,0,1,1
102400,1,1,24,24,2,1,0,1,1
103424,1,1,24,24,2,1,0,1,1
104448,1,1,24,24,2,1,0,1,1
105472,1,1,24,24,2,1,0,1,1
106496,1,1,25,25,2,1,0,1,1
107520,1,1,28,28,2,1,0,1,1
108544,1,1,28,28,2,1,0,1,1
109568,1,1,29,29,2,1,0,2,1
110592,1,1,29,29,2,1,0,3,1
111616,1,1,30,30,2,2,0,3,1
112640,1,1,31,31,2,3,0,3,1
113664,1,1,32,32,2,3,0,3,1
114688,1,1,32,32,2,3,0,3,1
115712,1,1,33,33,2,3,0,3,1
116736,1,1,34,34,2,3,0,3,1
117760,1,1,36,36,2,3,0,3,1
118784,1,2,36,36,2,3,0,3,1
119808,1,2,36,36,2,3,0,3,2
120832,1,2,37,37,2,3,0,3,2
121856,1,2,40,40,2,3,0,3,3
122880,1,3,42,42,2,3,0,3,3
123904,1,3,44,44,2,3,0,3,3
124928,1,3,45,45,2,3,0,3,3
125952,1,3,46,46,2,3,0,3,3
126976,1,3,46,46,2,3,0,3,3
128000,1,3,47,47,2,3,0,3,3
129024,1,3,47,47,2,3,0,3,3
130048,1,3,48,48,2,3,0,3,3
131072,1,3,48,48,2,3,0,3,4
132096,1,3,50,50,2,3,0,3,4
133120,1,3,51,51,2,4,0,3,4
134144,2,3,54,54,2,4,0,3,4
135168,2,3,54,54,2,4,0,3,4
136192,2,3,54,54,2,4,0,3,4
137216,2,3,54,54,2,4,0,3,4
138240,2,3,54,54,3,4,0,3,4
139264,2,3,56,56,3,4,0,3,4
140288,2,3,56,56,3,4,0,3,4
141312,2,3,57,57,3,4,0,3,4
142336,2,3,58,58,3,4,0,4,4
143360,2,3,59,59,3,4,0,4,4
144384,2,3,59,59,4,4,0,4,4
145408,2,3,60,60,4,4,0,4,4
146432,2,3,61,61,4,4,0,4,4
147456,2,3,61,61,4,4,0,4,4
148480,2,3,61,61,4,4,0,4,4
149504,2,3,62,62,4,4,0,4,4
150528,2,3,62,62,4,4,0,4,4
151552,2,4,63,63,4,4,0,4,4
152576,2,4,63,63,4,4,0,4,4
153600,2,4,65,65,4,4,0,4,4
154624,2,4,65,65,4,4,0,4,4
155648,2,4,66,66,4,4,0,4,4
156672,2,4,66,66,4,4,0,4,4
157696,2,4,67,67,4,4,0,4,4
158720,2,4,68,68,4,4,0,4,4
159744,2,4,69,69,4,4,0,4,4
160768,2,4,69,69,4,4,0,4,4
161792,2,4,71,71,4,4,0,4,4
162816,2,4,71,71,4,4,0,4,4
163840,2,4,71,71,4,4,0,4,4
164864,2,4,72,72,4,4,0,4,4
165888,2,4,74,74,4,4,1,4,4
166912,2,4,75,75,5,4,1,4,4
167936,2,4,75,75,5,4,1,4,4
168960,2,4,76,76,5,4,1,4,4
169984,2,4,76,76,5,4,1,5,4
171008,2,4,77,77,5,4,1,5,4
172032,3,4,81,81,5,4,1,5,4
173056,3,4,81,81,5,4,1,5,4
174080,3,4,81,81,5,4,1,5,4
175104,3,4,82,82,6,4,1,5,4
176128,3,4,83,83,6,5,1,5,4
177152,3,4,85,85,6,5,1,5,4
178176,3,4,90,90,6,5,1,5,4
179200,3,4,90,90,6,5,1,5,4
180224,3,4,92,92,6,5,1,5,4
181248,3,4,94,94,6,5,1,5,4
182272,3,4,96,96,6,5,1,5,4
183296,3,4,97,97,6,5,1,5,4
184320,3,4,100,100,6,5,1,5,4
185344,3,4,103,103,6,5,1,5,4
186368,3,4,104,104,6,5,1,5,4
187392,3,4,106,106,6,5,1,5,4
188416,3,4,107,107,6,5,1,5,4
189440,3,4,108,108,6,5,1,5,4
190464,3,4,108,108,6,5,1,5,4
191488,3,4,109,109,6,5,1,5,5
192512,3,4,110,110,6,5,1,5,5
193536,3,5,111,111,6,5,2,5,5
194560,3,6,113,113,6,5,2,5,5
195584,3,6,114,114,6,5,2,5,5
196608,3,6,115,115,6,5,2,5,5
197632,4,6,116,116,6,5,2,5,5
198656,4,6,117,117,6,5,2,6,6
199680,4,6,118,118,6,5,2,6,6
200704,4,6,119,119,6,5,2,6,6
201728,4,6,119,119,6,5,2,6,6
202752,4,6,119,119,6,5,2,6,6
203776,4,6,120,120,6,5,2,6,6
204800,4,6,120,120,6,5,2,6,6
205824,5,6,120,120,7,5,2,6,6
206848,5,6,123,123,7,5,2,6,6
207872,5,6,123,123,7,5,2,6,6
208896,5,6,123,123,7,5,2,6,6
209920,5,6,124,124,7,5,2,7,6
210944,5,6,125,125,7,5,2,7,6
211968,5,6,128,128,7,5,2,7,6
212992,5,6,128,128,7,5,2,7,6
214016,5,6,130,130,7,5,2,7,6
215040,5,6,130,130,8,5,2,7,6
216064,5,6,132,132,8,5,2,7,6
217088,5,6,133,133,8,5,2,7,6
218112,6,6,133,133,8,5,2,7,6
219136,6,6,133,133,8,5,2,7,6
220160,6,6,133,133,8,5,2,7,6
221184,6,6,133,133,8,5,2,7,6
222208,6,6,135,135,8,5,2,8,6
223232,6,6,139,139,8,5,2,9,6
224256,6,6,140,140,8,5,2,9,6
225280,7,6,141,141,8,5,2,9,6
226304,7,6,141,141,8,5,2,9,6
227328,7,6,142,142,8,5,2,9,6
228352,7,6,142,142,8,5,2,9,6
229376,7,6,145,145,8,5,2,9,6
230400,7,6,146,146,8,5,2,9,6
231424,7,6,148,148,8,5,2,9,6
232448,7,6,152,152,8,5,2,9,6
233472,7,6,153,153,8,5,2,9,6
234496,7,6,154,154,8,6,2,9,6
235520,7,6,154,154,8,6,2,9,7
236544,7,6,156,156,8,6,2,9,7
237568,7,6,158,158,8,6,2,9,7
238592,7,6,158,158,8,6,2,9,7
239616,7,6,162,162,8,6,3,9,7
240640,7,6,163,163,8,6,3,10,7
241664,7,6,165,165,8,6,3,10,7
242688,7,6,165,165,8,6,3,11,7
243712,7,6,167,167,8,6,3,11,7
244736,7,6,169,169,8,6,3,11,7
245760,7,6,170,170,8,6,3,12,7
246784,7,6,171,171,8,6,3,12,7
247808,7,6,173,173,8,6,3,12,7
248832,7,6,175,175,8,6,3,12,7
249856,7,7,176,176,8,6,3,12,7
250880,7,7,176,176,8,6,3,12,7
251904,7,7,177,177,8,6,3,12,7
252928,7,7,180,180,8,6,3,12,7
253952,7,7,182,182,8,6,3,12,7
254976,7,7,185,185,8,6,3,12,7
256000,7,7,188,188,8,6,3,12,7
257024,7,7,189,189,8,6,4,12,7
258048,8,7,189,189,8,6,4,12,7
259072,8,7,191,191,8,7,4,12,7
260096,8,7,193,193,8,7,5,12,7
261120,8,7,193,193,8,8,5,12,7
262144,8,7,196,196,8,8,5,13,7
263168,8,7,199,199,8,8,5,13,7
264192,8,7,200,200,8,8,5,13,7
265216,8,7,200,200,8,8,5,13,7
266240,8,8,202,202,8,8,5,13,7
267264,8,8,202,202,8,8,6,13,7
268288,8,8,206,206,8,8,6,13,7
269312,8,8,206,206,8,8,6,13,7
270336,8,8,207,207,8,8,6,13,7
271360,8,8,209,209,8,8,6,14,7
272384,8,8,212,212,8,8,6,14,7
273408,8,9,214,214,8,8,6,14,7
274432,8,9,216,216,8,8,6,15,7
275456,8,10,217,217,8,8,6,15,7
276480,8,10,219,219,8,8,6,15,7
277504,8,10,219,219,8,8,6,15,7
278528,8,10,220,220,8,8,6,15,7
279552,8,10,221,221,9,8,6,15,7
280576,8,10,223,223,9,8,6,15,7
281600,8,10,224,224,9,8,6,15,7
282624,8,10,224,224,9,9,6,16,7
283648,8,10,226,226,9,9,6,16,8
284672,8,10,226,226,9,9,6,16,8
285696,9,10,229,229,9,9,6,16,8
286720,9,10,229,229,9,10,6,16,8
287744,9,10,231,231,9,10,6,16,8
